index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
1616,[],"['Data Analytics', 'Other']","['Judgment', 'Anticipation of change', 'Problem solving', 'Communication', 'Self-motivation', 'Proactivity', 'Creativity', 'Analytical skills', 'Critical thinking', 'Leadership', 'Team interaction']",,mid
1617,[],['Other'],"['Collaboration', 'Communication', 'Decision-making', 'Resilience', 'Adaptability', 'Accountability', 'High standards']",5.0,senior
1618,[],['Other'],[],5.0,senior
1619,"['JavaScript', 'Python']","['Web Development', 'Software Development', 'Database Management', 'Other']","['analytical skills', 'problem solving', 'creative thinking', 'communication', 'technical quality assurance', 'cross-functional collaboration', 'results-oriented', 'persistence', 'meticulousness']",,not specified
1620,['Other'],['Other'],['Strong presentation and communication skills'],5.0,senior
1621,['Java'],"['Data Analytics', 'Cloud Computing', 'Database Management']",['Excellent oral and written English communication skills'],5.0,senior
1622,"['Python', 'C++', 'Java']","['Web Development', 'Cloud Computing', 'Software Development', 'Networking']","['problem solving', 'critical thinking', 'communication']",,not specified
1623,"['Scala', 'Other', 'Java']","['Data Analytics', 'DevOps', 'Software Development', 'Web Development', 'Other']","['Problem-solving', 'Collaboration', 'Initiative', 'Working under pressure', 'Quality focus']",4.0,senior
1624,[],['Other'],"['Leadership', 'Social Skills', 'Multi-tasking', 'Crisis Management']",5.0,senior
1625,[],"['Cloud Computing', 'Other']","['strong verbal and written communication skills', 'strong interpersonal skills', 'organizational skills', 'customer service/support', 'troubleshooting and problem-solving skills']",,not specified
1626,[],"['Data Analytics', 'Other']","['Networking', 'Project management', 'Organizational skills', 'Leadership', 'Communication', 'Creativity', 'Collaboration', 'Resourcefulness']",,senior
1627,['Python'],['Other'],"['Excellent written and verbal communication', 'Collaboration', 'Leadership']",,not specified
1628,['Python'],"['Data Analytics', 'Database Management', 'Other']","['Initiative', 'Ownership', 'Productivity', 'Deadline management', 'Strong written and verbal interpersonal skills', 'Attention to quality and detail']",3.0,mid
1629,"['Python', 'C++']",['Machine Learning/Artificial Intelligence'],"['Self motivated', 'Excellent problem solving skills', 'Excellent verbal and written communication']",3.0,mid
1630,"['Python', 'Other']","['Data Analytics', 'Other']","['Excellent written and verbal communication skills', 'Presentation experience with cross functional teams', 'Ability to pick up new technologies quickly', 'Self motivation to expand technical knowledge']",3.0,mid
1631,"['JavaScript', 'TypeScript', 'C++', 'Other']",['Web Development'],"['Analytical skills', 'Problem solving', 'Troubleshooting', 'Communication skills']",7.0,senior
1632,"['JavaScript', 'Java', 'Python', 'C++', 'Other']","['Database Management', 'Machine Learning/Artificial Intelligence', 'Cloud Computing', 'Software Development', 'Other']","['communication', 'collaboration', 'influencing']",7.0,senior
1633,[],['Other'],"['Strong team player', 'Creative thinker', 'Excellent communication skills', 'Multi-tasking', 'Crisis management', 'Analytical', 'Organizational skills', 'Problem-solving']",5.0,senior
1634,"['Python', 'C++']",['Machine Learning/Artificial Intelligence'],"['Self-motivated', 'Problem solving', 'Verbal communication', 'Written communication']",3.0,senior
1635,"['Python', 'Swift', 'Other']","['Data Analytics', 'Database Management', 'Cloud Computing', 'Software Development', 'Other']","['Information security practices', 'Privacy principles']",,not specified
1636,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['Strong communication skills', 'Customer support experience']",10.0,senior
1637,"['Shell', 'Python', 'C++']","['Internet of Things (IoT)', 'Software Development', 'Networking', 'Other']","['Self-directed investigations', 'Debug skills', 'Math skills', 'Analytical skills', 'Written communication', 'Verbal communication', 'Presentation skills']",,not specified
1638,['JavaScript'],"['Web Development', 'Data Analytics', 'Database Management']","['Self-motivated', 'Pro-active', 'Creative thinking', 'Critical thinking', 'Communication skills', 'Self starter']",5.0,mid
1639,"['C++', 'Other']","['Internet of Things (IoT)', 'Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)']","['Team player', 'Passion for technology', 'Self-motivated', 'Excellent problem solving skills', 'Excellent communication skills', 'Can work under stress and uncertainty', 'Fast learner']",,not specified
1640,[],"['Machine Learning/Artificial Intelligence', 'Database Management', 'Other']","['analytical focus', 'business modeling', 'forecasting', 'English proficiency', 'communication skills', 'big picture thinking', 'attention to detail', 'collaboration', 'teamwork']",,not specified
1641,"['Python', 'C++', 'Other']","['Cybersecurity', 'Other']","['Reverse engineering', 'Security vulnerability assessment', 'HW design review']",,senior
1642,['Java'],"['Web Development', 'Software Development', 'Other']","['judgment', 'integrity', 'decision-making', 'passion for technology', 'lifelong learning']",3.0,mid
1643,[],"['Networking', 'Other']","['Architectural knowledge', 'Strong EE fundamentals', 'Teaching junior engineers', 'Verbal and written communication', 'Cross-functional collaboration']",10.0,senior
1644,['Java'],"['Web Development', 'Software Development', 'Other']","['integrity', 'timely decision making', 'passion for technology', 'lifelong learning']",3.0,mid
1645,[],"['Data Analytics', 'Other']","['Project Management', 'People Management', 'Interpersonal Skills', 'Oral/Written Communication', 'Independent Work', 'Adaptability']",5.0,senior
1646,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['Ability to work independently', 'Excellent interpersonal skills', 'Desire to take on diverse challenges']",,not specified
1647,"['JavaScript', 'Java', 'Python', 'Go', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence']","['Excellent quantitative and communication skills', 'Willingness to learn', 'Multitasking', 'Comfortable in tech and business environments', 'Leadership', 'Passion']",,not specified
1648,[],['AR/VR (Augmented Reality/Virtual Reality)'],"['Passion for materials', 'Obsession with how things work', 'Hands-on prototyping', 'Appreciation for aesthetics', 'Radical creativity', 'Excellent communication', 'English proficiency']",,not specified
1649,"['Python', 'C++']","['Software Development', 'Other']","['Written communication', 'Verbal communication', 'Teamwork', 'Leadership']",3.0,not specified
1650,[],['Other'],"['interpersonal skills', 'social skills', 'organization skills', 'attention to detail', 'troubleshooting', 'customer service', 'dedication to customer experience', 'motivation', 'flexibility', 'self-starter', 'teamwork']",3.0,mid
1651,"['Python', 'Shell', 'Perl', 'C++']","['DevOps', 'Software Development', 'Networking', 'Other']","['Teamwork', 'Influencing', 'Consensus building', 'Written communication', 'Verbal communication']",,senior
1652,"['Swift', 'C++', 'Other']",['Mobile Development'],[],2.0,mid
1653,"['Python', 'Other']","['Internet of Things (IoT)', 'Other']","['Written and Verbal Communication', 'Teamwork', 'Leadership', 'Critical Analysis', 'Problem Solving']",,not specified
1654,"['C++', 'Other']",['Machine Learning/Artificial Intelligence'],['Analytical skills'],,not specified
1655,['Python'],"['Data Analytics', 'Database Management', 'Other']","['Initiative', 'Ownership of responsibilities', 'Strong written and verbal interpersonal skills', 'Emphasis on quality of work']",3.0,mid
1656,['Other'],"['Internet of Things (IoT)', 'Networking', 'Other']","['multi-disciplinary understanding', 'analyzing trade-offs']",8.0,senior
1657,"['Swift', 'Other']","['Mobile Development', 'Software Development', 'Other']","['Outstanding communication', 'Presentation skills']",,not specified
1658,[],"['Networking', 'Other']","['architectural knowledge', 'ability to teach', 'strong verbal communication', 'strong written communication', 'cross-functional collaboration']",5.0,senior
1659,[],"['Cloud Computing', 'Networking', 'Other']","['strong architectural knowledge', 'ability to teach', 'strong verbal and written communication skills', 'cross-functional collaboration']",5.0,senior
1660,[],"['Software Development', 'Database Management', 'Other']","['meeting facilitation', 'project management', 'working with senior management', 'adaptability']",5.0,senior
1661,"['JavaScript', 'Python', 'Shell', 'C++']","['DevOps', 'Other']","['Analytic and problem solving', 'Cross-team collaboration', 'Written and communication skills']",,not specified
1662,[],[],"['Business analysis', 'Strategic thinking', 'Data analysis', 'Problem solving', 'Adaptability', 'Communication', 'Presentation skills', 'Attention to detail']",,not specified
1663,['Java'],"['Cybersecurity', 'Cloud Computing', 'Networking', 'Other']","['Independent', 'Driven', 'Motivated', 'Passionate', 'Strong communication']",3.0,mid
1664,[],['Other'],"['Self-motivated', 'Ability to thrive in a fast-paced environment', 'Outstanding verbal and visual communication skills', 'Desire to work in a team environment']",3.0,not specified
1665,[],[],"['Negotiation', 'Collaboration', 'Communication', 'Sketching']",4.0,mid
1666,[],"['Networking', 'Other']","['System Level Understanding', 'Multi-disciplinary Collaboration']",5.0,senior
1667,[],['Other'],"['Communication', 'Collaboration', 'Negotiation', 'Articulation']",4.0,mid
1668,[],['Other'],"['Social communication', 'Collaboration', 'Independence']",6.0,senior
1669,[],['Machine Learning/Artificial Intelligence'],"['Creativity', 'Collaboration', 'Innovation', 'Communication', 'Presentation']",,not specified
1670,[],['Machine Learning/Artificial Intelligence'],"['creative', 'collaborative', 'presentation skills', 'innovative']",,not specified
1671,"['JavaScript', 'PHP', 'Python', 'Ruby', 'Other']","['Data Analytics', 'Database Management', 'Software Development', 'Web Development', 'Other']",['Data analytics'],,not specified
1672,[],"['Software Development', 'Other']","['Technical Program Management', 'Project Management', 'Systems Support', 'Customer Support', 'Real-time Crisis Management', 'Project Development Metrics']",5.0,senior
1673,"['Ruby', 'Go', 'Python', 'Java']","['Cloud Computing', 'DevOps', 'Software Development', 'Other']","['Systems level understanding', 'Cloud environment management']",5.0,senior
1674,['Java'],"['Software Development', 'Mobile Development']","['Problem solving', 'Critical thinking', 'Communication skills', 'Teamwork']",,not specified
1675,"['Other', 'Java']","['Data Analytics', 'DevOps', 'Database Management', 'Other']","['In-depth communication', 'Proactive communication', 'Responsibility management']",5.0,senior
1676,"['Ruby', 'Python', 'Shell']","['DevOps', 'Networking', 'Other']","['Excellent written and verbal interpersonal skills', 'Passionate', 'Inquisitive', 'Problem-solving skills']",8.0,senior
1677,[],[],"['Excellent communication', 'Organizational skills', 'Leadership skills', 'Creative thinking', 'Critical thinking', 'Flexibility', 'Calmness in ambiguity', 'Strong verbal and written communication', 'Executive level presentation skills', 'Self-motivation', 'Proactiveness']",5.0,senior
1678,[],"['Internet of Things (IoT)', 'Other']","['troubleshooting', 'analytical skills', 'problem solving']",5.0,senior
1679,[],"['Data Analytics', 'Other']","['Accountability', 'Responsibility', 'Self-motivation', 'Communication', 'Presentation', 'Facilitation', 'Analytical']",5.0,senior
1680,[],[],"['Team collaboration', 'Problem solving', 'Strong written and verbal communication', 'Presentation skills', 'Creative thinking']",2.0,not specified
1681,[],"['Software Development', 'Other']","['Articulating Design Solutions', 'Negotiating Design Solutions', 'Collaboration', 'Communication']",4.0,senior
1682,[],"['Database Management', 'Other']","['Written and Verbal Communication', 'Training', 'Auditing', 'Instruction', 'Content Implementation']",2.0,mid
1683,[],"['Web Development', 'Other', 'Mobile Development']","['Deadline management', 'Cross-functional team collaboration', 'UI principles', 'Resourcefulness', 'Creativity', 'Teamwork', 'Autonomy', 'Passion for technology', 'Interest in Apple products']",,senior
1684,[],"['Software Development', 'Other']","['Vendor management', 'Leadership', 'Influence', 'Cultural sensitivity']",3.0,mid
1685,"['Python', 'Go', 'Scala', 'Java']","['Data Analytics', 'DevOps', 'Database Management', 'Cloud Computing', 'Other']","['Coordination', 'Liaising']",,senior
1686,[],"['Data Analytics', 'Other']","['communication', 'project management', 'collaboration', 'partnership building']",,not specified
1687,[],['Other'],"['Leadership', 'Communication', 'Organization', 'Cross-functional Coordination', 'Self-motivation', 'Proactive Thinking', 'Creativity', 'Critical Thinking']",2.0,mid
1688,[],"['Networking', 'Database Management', 'Other']","['Strong written and verbal communication', 'Self-starter', 'Ability to work with minimal direction', 'Ability to prioritize and handle multiple tasks/projects']",10.0,senior
1689,[],['Other'],['Strong communication skills'],,not specified
1690,[],[],"['Research and sourcing methods', 'Adaptability', 'Collaboration', 'Negotiation', 'Closing skills']",7.0,senior
1691,"['Swift', 'Other']","['Mobile Development', 'Other']","['Creativity', 'Enthusiasm for design', 'Outstanding communication', 'Presentation skills']",,not specified
1692,['Other'],['Other'],"['Ability to work independently', 'Team collaboration', 'Process-oriented', 'Data-driven decision making', 'Time management', 'Entrepreneurial mindset', 'Clear technical communication', 'Motivational skills']",4.0,senior
1693,['Other'],['Other'],"['Strong presentation skills', 'Communication skills']",5.0,senior
1694,"['Python', 'Shell', 'Perl', 'C++', 'Other']","['DevOps', 'Software Development', 'Other']","['Problem solving', 'Reasoning', 'Teamwork', 'Positive thinking', 'Inventiveness', 'Willingness to take challenges']",3.0,mid
1695,[],"['Data Analytics', 'Database Management', 'Other']","['Excellent communication', 'Problem-solving', 'Self-starter', 'Flexibility', 'Ability to balance multiple projects']",3.0,mid
1696,[],[],"['Accountability', 'Responsibility', 'Self-motivation', 'Communication', 'Presentation', 'Facilitation']",5.0,not specified
1697,"['Go', 'Python']","['DevOps', 'Database Management', 'Cloud Computing', 'Software Development', 'Other']","['Coaching and mentoring', 'Working with external partners', 'Cross functional teamwork', 'Strong attention to detail', 'Analytical capabilities', 'Communication skills']",2.0,senior
1698,[],['Other'],"['Deadline management', 'Project management', 'Complexity handling', 'Communication', 'Attention to detail', 'Adaptability']",5.0,mid
1699,"['Perl', 'C++', 'Python', 'Other']","['Software Development', 'Other']","['independent work', 'interpersonal skills', 'ability to take on diverse challenges']",,not specified
1700,"['JavaScript', 'Swift']",['DevOps'],"['Strong communication', 'Interpersonal skills', 'Passion for quality', 'Attention to detail']",,not specified
1701,[],"['Other', 'Cybersecurity']","['Leadership', 'Interpersonal Skills', 'Decision-making', 'Prioritization', 'Problem-solving', 'Creative Thinking', 'Critical Thinking', 'Independent Work']",5.0,senior
1702,"['JavaScript', 'Scala', 'Python', 'Java']",['Data Analytics'],[],,not specified
1703,[],[],"['Customer Focused', 'Team Builder', 'Exec Presence', 'Technically Agile', 'Priority Driven', 'Highly organized', 'Creative and motivated', 'Excellent communication skills', 'Creative thinker', 'Strong problem solver', 'Attention to detail']",5.0,senior
1704,"['Python', 'Shell']","['DevOps', 'Software Development', 'Other']","['Communication', 'Data Presentation']",,not specified
1705,"['Python', 'Shell']","['DevOps', 'Software Development', 'Other']","['Communication', 'Presentation']",,not specified
1706,"['TypeScript', 'C++', 'Java']","['Web Development', 'Other', 'Software Development', 'Mobile Development']","['problem solving', 'critical thinking', 'communication']",3.0,mid
1707,"['Python', 'Other']","['Software Development', 'Other']","['Strong initiative', 'Ownership of responsibilities', 'Productivity', 'Ability to meet aggressive deadlines', 'Good written and verbal interpersonal skills']",5.0,senior
1708,[],['Other'],"['Vendor management', 'Analytical skills', 'Problem resolution', 'Multi-tasking', 'Crisis management', 'Project development', 'Technical communication', 'Leadership', 'Interpersonal skills']",5.0,senior
1709,"['Ruby', 'JavaScript', 'Other']","['Web Development', 'Software Development', 'Database Management']","['Excellent verbal and written communication', 'Adaptable', 'Self-motivated', 'Creative and critical thinking']",3.0,mid
1710,"['JavaScript', 'C#', 'PHP', 'Java', 'Python', 'Swift', 'Ruby', 'Other']","['Data Analytics', 'DevOps', 'Database Management', 'Web Development', 'Other']","['Fluent English', 'Ability to multi-task', 'Ability to work independently', 'Brainstorming and communication', 'Excellent verbal and written communication', 'Willingness to learn']",3.0,mid
1711,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['Good communications skills', 'Customer support experience']",5.0,senior
1712,"['Perl', 'Shell', 'Python', 'Other']","['Internet of Things (IoT)', 'Data Analytics', 'Software Development', 'Other']","['Problem Localization', 'Root-cause Analysis', 'Attention to Detail', 'Lab Environment Work', 'System Level Understanding']",,not specified
1713,"['JavaScript', 'Python', 'Swift', 'Ruby', 'C++', 'Other']",['Other'],"['Ability to communicate technical concepts to a non-technical audience', 'Problem-solving', 'Detail-oriented', 'Passion for consumer electronics']",3.0,mid
1714,[],"['Other', 'Mobile Development']","['Customer service focus', 'Troubleshooting', 'Technical ability', 'Fluent in Mandarin', 'Adaptability in communication', 'Self-management', 'Time management', 'Multitasking', 'Team collaboration', 'Knowledge sharing']",1.0,junior
1715,"['Perl', 'Shell', 'Python', 'Other']","['Internet of Things (IoT)', 'Data Analytics', 'Other']","['Attention to Detail', 'Problem Localization', 'Root Cause Analysis', 'Good Experimental Technique']",,not specified
1716,[],['Machine Learning/Artificial Intelligence'],"['creative', 'collaborative', 'innovation focused', 'ability to explain complex ideas', 'strong academic and publication record']",,not specified
1717,[],['Machine Learning/Artificial Intelligence'],"['ability to explain and present ideas', 'creative', 'collaborative', 'innovation focused']",,not specified
1718,[],['Other'],"['Leadership', 'Crisis Management', 'Communication', 'Teamwork']",5.0,senior
1719,['Other'],"['Networking', 'Other']","['System level understanding', 'Analytical skills', 'Multi-team collaboration']",5.0,senior
1720,['Java'],"['DevOps', 'Database Management', 'Other']","['Good written and verbal communication skills', 'Authoring operations manuals']",3.0,mid
1721,"['Python', 'R', 'Other']",['Data Analytics'],"['interpersonal skills', 'behavioral observation', 'attention to detail', 'multitasking', 'focus', 'user research']",,not specified
1722,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['Good communication skills', 'Customer support experience']",5.0,senior
1723,[],"['Internet of Things (IoT)', 'Software Development', 'Other']","['Creative and Critical Thinking', 'Troubleshooting', 'Multitasking', 'Professionalism']",,not specified
1724,"['JavaScript', 'Python', 'Swift', 'Other']","['Web Development', 'Database Management', 'Mobile Development']","['Analytical skills', 'Problem solving', 'Creative thinking', 'Verbal communication', 'Written communication', 'User-focused design', 'Quality assurance', 'Cross-functional collaboration', 'Results-oriented', 'Persistence', 'Meticulousness']",,not specified
1725,['Other'],"['Networking', 'Other']",['Strong verbal and written communications'],5.0,senior
1726,[],"['Data Analytics', 'Other']","['Self-starter', 'Attention to detail', 'Digital savvy', 'Passion for content/entertainment', 'Hard-working', 'Diligent', 'Excellent communication', 'Prioritization', 'Deadline management', 'Multi-tasking']",,not specified
1727,"['C++', 'Other']",['Human-Computer Interaction'],"['Excellent communication', 'Collaborative skills', 'Passion for product quality', 'Attention to detail', 'Comfortable with rapid development cycles', 'Understanding of optimization and performance issues', 'Adaptable', 'Results oriented', 'Positive attitude']",,not specified
1728,[],[],"['Negotiation', 'Relationship Building', 'Accountability', 'Self-Motivation', 'Communication', 'Presentation', 'Facilitation']",,senior
1729,[],['Other'],"['Organization', 'Deadline management', 'Cross-functional collaboration', 'Strategic and tactical thinking', 'Resourcefulness', 'Creativity', 'Results orientation']",6.0,senior
1730,[],['Other'],"['Collaboration', 'Organizational skills', 'Problem-solving', 'Learning enthusiasm', 'Communication', 'Attention to detail']",,not specified
1731,"['Other', 'C++', 'C#', 'Java']","['Cybersecurity', 'Networking', 'Other']","['Independent', 'Driven', 'Motivated', 'Passionate']",2.0,mid
1732,[],['Other'],[],20.0,senior
1733,['Other'],"['Data Analytics', 'Other']","['team player', 'problem-solving']",,not specified
1734,['R'],"['Data Analytics', 'Other']","['Data analysis', 'Signal conditioning', 'Design verification']",,not specified
1735,"['Perl', 'Python', 'Other']",['Other'],"['self-motivation', 'dedication', 'problem solving', 'social skills', 'communication skills']",,not specified
1736,"['Python', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Excellent communication', 'Presentation skills', 'Ability to work well in a team']",5.0,mid
1737,"['Python', 'C++', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']",[],3.0,not specified
1738,[],[],"['Self-starting', 'Self-motivated', 'Disciplined', 'Self-sufficient', 'Extraordinary communication', 'Presentation skills', 'Facilitation skills']",5.0,senior
1739,['Other'],['Other'],"['Management', 'Collaboration with System Architects', 'Working with Digital Design Groups', 'Production Testing and QA Methodologies']",15.0,senior
1740,"['Python', 'R', 'Other']","['Data Analytics', 'Database Management']","['Data modeling', 'Data transformation', 'Data management', 'Statistics', 'Communication with senior management', 'Executive level exposure', 'Self-supervision']",3.0,mid
1741,['Other'],"['Human-Computer Interaction', 'Other', 'Mobile Development']","['Collaboration', 'Communication', 'UI design sense', 'Decision-making', 'Integrity', 'Writing', 'Interpersonal skills', 'Focus', 'Adaptability', 'Results orientation', 'Positive attitude']",,not specified
1742,"['Scala', 'Python']","['Data Analytics', 'Database Management', 'Other']","['Excellent communication skills', 'Ability to explain findings in layman terms', 'Communicate results and ideas to key decision makers', 'Keep up-to-date with technology trends']",4.0,mid
1743,['Other'],"['Human-Computer Interaction', 'Other', 'Mobile Development']","['Collaboration', 'Communication', 'Product ownership', 'Accountability', 'Judgment', 'Integrity', 'Time management', 'Writing', 'Interpersonal skills', 'Adaptability', 'Results oriented', 'Positive attitude']",,not specified
1744,[],[],[],,not specified
1745,[],"['Other', 'Mobile Development']","['Writing', 'Interpersonal Skills', 'Presentation Skills', 'Organizational Skills', 'Time-Management', 'Teamwork']",4.0,mid
1746,"['JavaScript', 'Java', 'Python', 'Shell', 'Other']","['Data Analytics', 'DevOps', 'Database Management', 'Cloud Computing', 'Cybersecurity', 'Networking', 'Other']","['Systematic approach', 'Issue troubleshooting', 'Communication', 'Collaboration', 'Leadership', 'Self-starter', 'Visionary', 'Learning agility']",,not specified
1747,['Other'],['Database Management'],"['analytical skills', 'presentation skills', 'strategy development', 'project management']",5.0,senior
1748,[],[],"['Troubleshooting', 'Customer service', 'Remote work discipline', 'Flexibility', 'Time management']",,not specified
1749,[],['Other'],"['communication', 'interpersonal skills', 'attention to detail', 'flexibility']",,not specified
1750,[],"['Networking', 'Other']",[],5.0,senior
1751,[],[],"['Excellent communication skills', 'Interpersonal skills', 'Ability to work independently', 'Customer service commitment', 'Planning and organization', 'Flexibility', 'Problem solving abilities', 'Training', 'Motivation', 'Ethics and integrity']",,not specified
1752,['Java'],"['Data Analytics', 'Cloud Computing']","['Teamwork', 'Interpersonal skills', 'Ability to work in a fast-paced environment', 'Engineering trade-offs understanding']",5.0,senior
1753,"['Python', 'C++', 'Perl', 'Other']",['Other'],['Excellent verbal and written social skills'],,not specified
1754,"['Python', 'Java']","['Software Development', 'Mobile Development', 'Other']","['Root Cause Analysis', 'Regression Testing', 'Multitasking', 'Flexibility', 'Test Case and Plan Writing']",4.0,senior
1755,[],['Other'],"['Project management', 'Organizational skills', 'Multi-tasking', 'Management skills', 'Communication skills']",4.0,mid
1756,[],['Other'],"['Strong Communication', 'Persuasion', 'Negotiation', 'Analytical Skills', 'Verbal Communication', 'Written Skills']",10.0,senior
1757,[],['Machine Learning/Artificial Intelligence'],"['creative', 'collaborative', 'innovation focused', 'ability to explain and present']",,not specified
1758,"['Python', 'R']",['Machine Learning/Artificial Intelligence'],"['Creative', 'Collaborative', 'Innovation focused', 'Ability to explain and present technical ideas']",,not specified
1759,[],['Other'],"['excellent communication (verbal and written)', 'project management']",2.0,mid
1760,"['Java', 'Python', 'Swift', 'Go', 'C++', 'Other']","['Data Analytics', 'DevOps', 'Database Management', 'Cloud Computing', 'Networking', 'Other']","['ownership', 'customer service', 'integrity', 'communication', 'systematic approach', 'passion for automation']",,senior
1761,[],"['Networking', 'Other']","['Project management', 'Relationship building', 'Interpersonal skills', 'Planning']",,not specified
1762,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['communication skills', 'customer support experience']",3.0,mid
1763,"['C++', 'Java']","['Data Analytics', 'Other']","['Data-driven thinking', 'Proven mathematical knowledge']",,not specified
1764,[],['Other'],"['Project management', 'Organizational skills', 'Multi-tasking', 'Communication skills', 'Management skills']",3.0,mid
1765,['Swift'],['Mobile Development'],"['UI design', 'Accessibility', 'Semantic mark-up', 'UX principles', 'Multi-tasking', 'Problem solving', 'Debugging', 'Performance tuning', 'Independent working', 'Communication']",,not specified
1766,[],"['Other', 'Data Analytics', 'Software Development', 'Mobile Development']","['Autonomous work', 'Time management', 'Communication', 'Prioritization']",,not specified
1767,['Ruby'],"['Database Management', 'Other']","['Detail-oriented', 'Strong organization skills', 'Collaboration', 'Written and verbal communication', 'Self-motivated', 'Independent', 'Dedicated']",,not specified
1768,"['JavaScript', 'Other']","['Web Development', 'Software Development']","['debugging and diagnostic skills', 'creative problem solving', 'critical thinking', 'thriving in dynamic environments']",,senior
1769,"['Python', 'R', 'Other']","['Data Analytics', 'DevOps', 'Database Management']","['Leadership', 'Effective Communication', 'Collaboration', 'Feedback Acceptance', 'Design Aesthetic']",2.0,mid
1770,[],[],"['Problem-solving', 'Analytical skills', 'Business judgment', 'Presentation skills', 'Interpersonal skills', 'Integrity', 'Sense of humor']",10.0,senior
1771,"['Swift', 'C++', 'Other']","['Mobile Development', 'Other']","['Communication', 'Presentation']",,not specified
1772,[],"['Machine Learning/Artificial Intelligence', 'Other']","['Attention to Detail', 'Analytical Skills', 'Debugging Skills', 'Written Communication', 'Verbal Communication', 'Collaboration', 'Time Management']",,senior
1773,[],[],"['Analytical skills', 'Problem resolution', 'Multi-tasking', 'Crisis management', 'Leadership', 'Interpersonal skills', 'Communication', 'Vendor management']",7.0,senior
1774,"['Shell', 'Python', 'C++', 'Other']","['Software Development', 'Networking', 'Other']","['Critical thinking', 'Problem solving', 'Passionate', 'Inquisitive']",3.0,mid
1775,[],['Other'],"['Strong interpersonal skills', 'Communication skills', 'Influencing skills', 'Self-starter', 'Technical decision making', 'Composure under pressure', 'Oral, written, and presentation skills']",3.0,mid
1776,['Java'],"['Web Development', 'Software Development', 'Database Management']","['Excellent judgment', 'Integrity', 'Ability to make timely and sound decisions']",5.0,senior
1777,[],"['Web Development', 'Other']","['Solution-based selling', 'Consensus building', 'Relationship development', 'Executive-level communication', 'Presentation skills', 'Organizational skills', 'Revenue goal achievement', 'Executive selling', 'Business insight', 'Operational knowledge', 'Sales strategy', 'Leadership', 'Influencing skills', 'Continuous learning']",,senior
1778,[],"['Software Development', 'Other']","['Project Management', 'Process Management', 'Change Management', 'Written and Verbal Communication', 'Ambiguity Management', 'Self-Motivation', 'Global Team Collaboration']",5.0,senior
1779,[],"['Data Analytics', 'Other']","['Quick Learner', 'Team Leadership', 'Project Management', 'Familiarity with Multiple Technologies']",5.0,senior
1780,"['Python', 'C++', 'Other']","['Data Analytics', 'DevOps', 'Software Development', 'Other']","['Strong communication skills', 'Problem solving', 'Appetite for innovation', 'Rigor and healthy paranoia', 'Self-starter']",,not specified
1781,['JavaScript'],['Web Development'],"['Leadership', 'Mentoring', 'Problem solving', 'Critical thinking', 'Self-motivated', 'Detail-oriented']",8.0,senior
1782,['Other'],['Other'],"['Collaboration', 'Problem solving', 'Attention to detail']",3.0,senior
1783,[],"['Data Analytics', 'Other']","['Financial modeling', 'Forecasting', 'Reporting and analysis', 'Process improvement', 'Communication', 'Presentation skills', 'Consensus building', 'Quick learning', 'Collaboration', 'Organization', 'Attention to detail']",3.0,mid
1784,[],['Other'],"['Problem-solving', 'Attention to detail', 'Technical understanding']",,not specified
1785,[],"['Machine Learning/Artificial Intelligence', 'Software Development']","['Project Management', 'Program Management', 'Product Management', 'Creative Thinking', 'Critical Thinking', 'Communication', 'Presentation Skills', 'Self-motivation', 'Proactiveness']",10.0,senior
1786,['Other'],"['Data Analytics', 'Other']","['Self-starter', 'Deadline management', 'Collaboration', 'Analytical skills', 'Problem-solving', 'Attention to detail', 'Creative thinking']",5.0,mid
1787,"['Python', 'C++', 'Other']","['Machine Learning/Artificial Intelligence', 'Other']","['Great interpersonal skills', 'Ability to collaborate across groups']",8.0,senior
1788,[],['Other'],"['Customer service focus', 'Troubleshooting expertise', 'Technical ability', 'Flexibility', 'Discipline', 'Problem-solving', 'Fluency in Mandarin', 'Typing speed']",,not specified
1789,"['Python', 'Shell', 'Java']","['Data Analytics', 'DevOps', 'Database Management', 'Cybersecurity', 'Networking', 'Other']","['Communication', 'Collaboration', 'Troubleshooting']",,mid
1790,"['Scala', 'Java']","['Data Analytics', 'Cloud Computing', 'Database Management', 'Other']",['Exceptional analytical skills'],3.0,mid
1791,"['Perl', 'C++', 'Python', 'Other']",['Other'],"['failure analysis', 'troubleshooting', 'system integration']",1.0,not specified
1792,"['Python', 'Shell']","['DevOps', 'Software Development', 'Networking', 'Other']","['Mentorship', 'Troubleshooting', 'Operations Management']",,senior
