id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
1252,Europe,,"Other, Mobile Development",,not specified
1253,North America,"Python, C++","Software Development, Database Management, Other",5,senior
1254,North America,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,not specified
1255,North America,,"Cloud Computing, Other",,senior
1256,North America,"Java, Python, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,senior
1257,Asia,Python,Other,,junior
1258,North America,"Python, Shell, Perl, Other","Data Analytics, Software Development, Database Management, Other",5,senior
1259,North America,,Other,,not specified
1260,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1261,North America,"JavaScript, Python, Java","Other, Data Analytics, Mobile Development, Cybersecurity",,not specified
1262,North America,"Ruby, Python, JavaScript",DevOps,,not specified
1263,North America,"JavaScript, Other",Web Development,3,mid
1264,North America,Other,Other,4,senior
1265,North America,"Python, Swift, Other, Java","Software Development, Other",6,senior
1266,North America,"Python, Shell","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",5,senior
1267,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",10,senior
1268,Europe,"Python, Java","Database Management, Software Development, Networking, Other",,not specified
1269,North America,,Other,7,senior
1270,Asia,,Other,7,senior
1271,North America,"Shell, Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1272,North America,"C++, Other","Web Development, Software Development, Networking, Other",3,mid
1273,Asia,,,10,senior
1274,North America,"Ruby, Python, Go, JavaScript","Web Development, Cloud Computing, Database Management, Other",,senior
1275,North America,"Ruby, Python, Go, JavaScript","Web Development, Software Development, Database Management, Other",,senior
1276,North America,"Shell, Other","DevOps, Web Development, Internet of Things (IoT), Networking, Other",,not specified
1277,North America,Other,Cybersecurity,5,senior
1278,North America,"JavaScript, PHP, Python, Shell, Perl, Ruby","Software Development, Other",2,mid
1279,North America,,"Networking, Other",,not specified
1280,Asia,"C++, Other","Machine Learning/Artificial Intelligence, Other",,mid
1281,Asia,"C++, Other","Machine Learning/Artificial Intelligence, Other",,not specified
1282,North America,"Swift, C++, Other","Other, Cloud Computing, Software Development, Mobile Development",,not specified
1283,North America,"C++, Other","Software Development, Networking, Other",,not specified
1284,North America,,Other,,not specified
1285,North America,Other,"Data Analytics, Cloud Computing, Database Management, Other",5,senior
1286,North America,"Java, Python, Perl, Ruby, Other","Cloud Computing, DevOps, Networking, Other",,senior
1287,North America,,"Internet of Things (IoT), Other",10,senior
1288,North America,,"Data Analytics, Other",10,senior
1289,North America,"Python, R","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",3,mid
1290,North America,"Swift, Other","Cloud Computing, Software Development",,mid
1291,North America,"C++, Other","Web Development, Software Development, Other",5,not specified
1292,North America,"C++, Other","Software Development, Other",,not specified
1293,Asia,,Other,5,senior
1294,North America,,"Cybersecurity, Cloud Computing, Networking, Other",5,senior
1295,North America,,"Software Development, Networking, Other",7,senior
1296,North America,,,,not specified
1297,North America,,Other,10,senior
1298,Europe,"C++, Other","DevOps, Software Development, Networking, Other",,senior
1299,North America,"Python, Other",Other,,mid
1300,North America,Other,"Mobile Development, Other",,not specified
1301,North America,"JavaScript, Python, Java","Software Development, Other",3,mid
1302,North America,,"Other, Cybersecurity",7,senior
1303,North America,,"Human-Computer Interaction, Software Development, Other",,not specified
1304,North America,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,mid
1305,North America,"Python, C++, Java",Cloud Computing,,not specified
1306,North America,"Perl, Other","Web Development, Other",,not specified
1307,North America,"Python, Other",Other,,not specified
1308,North America,Other,Other,8,senior
1309,North America,Other,Other,8,senior
1310,North America,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Developm",,not specified
1311,Europe,"Perl, C++, Python, Other",Other,,not specified
1312,North America,"Swift, Other","Other, Software Development, Mobile Development",5,senior
1313,North America,"Shell, Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1314,North America,"JavaScript, Python, C++, Other","Other, Software Development, Mobile Development",,not specified
1315,North America,Other,"Software Development, Mobile Development",,not specified
1316,North America,Other,"DevOps, Database Management, Mobile Development, Software Development, Web Development, Other",3,senior
1317,North America,Other,"Web Development, DevOps, Database Management, Other",3,mid
1318,Asia,,,,not specified
1319,North America,"C++, Other","Internet of Things (IoT), Software Development, Networking, Other",4,mid
1320,North America,"Perl, Other","Web Development, Other",,senior
1321,North America,"Python, Shell, Perl","DevOps, Software Development, Other",,not specified
1322,Europe,"Python, C++, Scala, Java",Machine Learning/Artificial Intelligence,,not specified
1323,North America,,Software Development,,not specified
1324,North America,"Perl, C++, Python, Other","Software Development, Other",,not specified
1325,North America,Python,Other,6,senior
1326,North America,,"Human-Computer Interaction, Software Development, Networking, Other",5,senior
1327,North America,"Swift, Other","Human-Computer Interaction, Mobile Development",2,senior
1328,North America,"Python, Java, PHP, Other","DevOps, Other",,senior
1329,North America,Other,"Data Analytics, Software Development, Other",,not specified
1330,North America,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, AR/VR (Augmented Reality/Virtual Reali",,not specified
1331,Europe,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, AR/VR (Augmented Reality/Virtual Reali",,not specified
1332,Europe,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1333,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",3,senior
1334,North America,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,mid
1335,North America,"Python, C++, Other","Mobile Development, Other",5,senior
1336,North America,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,mid
1337,North America,,"Software Development, Database Management, Other",3,not specified
1338,North America,,"Database Management, Other",5,senior
1339,North America,,"DevOps, Other",,not specified
1340,North America,"C++, Other",Software Development,,not specified
1341,North America,"Perl, C++, Python, Other",,,not specified
1342,North America,"Python, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
1343,Asia,"JavaScript, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",,senior
1344,North America,,"Software Development, Other",3,not specified
1345,Asia,"Scala, Java, Python, Shell, Ruby","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,not specified
1346,North America,"C++, Other","Software Development, Other",,senior
1347,North America,"Perl, Other",Other,,not specified
1348,North America,Python,"Data Analytics, Machine Learning/Artificial Intelligence",4,senior
1349,North America,,"Data Analytics, Database Management, Other",3,mid
1350,North America,"Swift, Other","Mobile Development, Other",5,mid
1351,North America,,"Web Development, Database Management",2,mid
1352,North America,"Perl, Python, Ruby, C++, Other",Other,7,senior
1353,North America,Other,,2,mid
1354,North America,,"Data Analytics, Cloud Computing, Database Management, Other",3,mid
1355,North America,,"Cybersecurity, Other",5,senior
1356,Asia,"JavaScript, Python, Other, Java","Other, Software Development, Mobile Development",,not specified
1357,North America,"JavaScript, Python, Perl, Shell, Go, C++, Other","DevOps, Database Management, Other",,mid
1358,North America,"C++, Other","Internet of Things (IoT), Other",,not specified
1359,Europe,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1360,North America,,"Software Development, Other",5,senior
1361,North America,"Python, Shell, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
1362,North America,"Perl, Other","Web Development, Software Development, Other",,not specified
1363,North America,"JavaScript, C++, Other","Web Development, Software Development",5,senior
1364,North America,Other,Mobile Development,,not specified
1365,North America,"Swift, Other","Software Development, Other",,not specified
1366,North America,"Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development",,not specified
1367,North America,"Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development",,not specified
1368,North America,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",,not specified
1369,North America,Other,"Machine Learning/Artificial Intelligence, Networking, Other",,not specified
1370,North America,,"Software Development, Other",3,mid
1371,North America,Python,"DevOps, Software Development, Other",3,mid
1372,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1373,North America,,Other,,not specified
1374,North America,"Python, C++, Perl, Other","Data Analytics, Other",5,senior
1375,North America,Other,Other,10,senior
1376,Europe,,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,senior
1377,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",1,junior
1378,North America,"Python, Other",Other,,not specified
1379,North America,"Swift, Shell, Python, Other","DevOps, Software Development, Other",,not specified
1380,North America,Other,"Other, Networking, Mobile Development",,not specified
1381,North America,"C++, Other",Machine Learning/Artificial Intelligence,,not specified
1382,North America,Other,"Data Analytics, Database Management, Other",4,senior
1383,North America,"Python, Other",Other,,not specified
1384,Asia,,"Internet of Things (IoT), Mobile Development, Other",8,senior
1385,North America,"C++, Other",Other,,not specified
1386,North America,"JavaScript, R, PHP, Java, Python, Perl, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",3,mid
1387,North America,"Python, C++, Other","DevOps, Software Development, Networking, Mobile Development",,not specified
1388,Asia,,"Data Analytics, Other",,not specified
1389,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",1,junior
1390,North America,Other,"Data Analytics, DevOps, Cloud Computing, Cybersecurity, Networking, Other",,senior
1391,North America,,"Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,senior
1392,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1393,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1394,North America,Other,Software Development,,not specified
1395,North America,"C++, Other","Software Development, Other",,mid
1396,North America,"C++, Other","Software Development, Other",,not specified
1397,North America,"JavaScript, Other","Web Development, Other",3,senior
1398,Europe,"Perl, C++, Python, Other",Other,,not specified
1399,North America,,"Software Development, Other",5,senior
1400,North America,,"Data Analytics, Database Management, Other",3,mid
1401,North America,Other,Mobile Development,,not specified
1402,North America,"Python, Scala, Java","Data Analytics, Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,senior
1403,North America,,"Software Development, Other",5,senior
1404,North America,"Swift, C++, Other","Human-Computer Interaction, Mobile Development, Software Development, Internet of Things (IoT), Netw",,not specified
1405,North America,Other,,2,mid
1406,North America,Python,"DevOps, Software Development, Other",1,not specified
1407,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1408,North America,,"Data Analytics, Database Management, Other",3,not specified
1409,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",4,mid
1410,North America,Other,"Web Development, Software Development, Other",,not specified
1411,North America,"Perl, Shell, Other",Other,5,senior
1412,North America,"Perl, Other","Cybersecurity, Software Development, Other",5,mid
1413,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1414,North America,,,4,mid
1415,North America,"Perl, Other","Cybersecurity, DevOps, Software Development, Other",5,mid
1416,North America,"JavaScript, Swift, Other",,,not specified
1417,North America,,"Web Development, Software Development, Other",4,mid
1418,North America,"Python, Shell",Software Development,,not specified
1419,North America,C++,"Machine Learning/Artificial Intelligence, Other",,not specified
1420,North America,"C++, Other","Software Development, Other",5,senior
1421,North America,,"Software Development, Other",5,senior
1422,North America,,"Web Development, Machine Learning/Artificial Intelligence, Other",,not specified
1423,North America,"Python, C++, Other",Other,1,mid
1424,Europe,"Python, C++, Perl","Data Analytics, Other",,junior
1425,North America,"Swift, Other",Other,,not specified
1426,North America,"Perl, Python, Ruby, C++, Other",Other,7,senior
1427,North America,Other,"Data Analytics, Software Development, Database Management, Other",4,senior
1428,North America,Other,"Data Analytics, Database Management, Other",4,senior
1429,North America,Other,"Data Analytics, Database Management, Networking, Other",4,senior
1430,Europe,"R, Python, Perl, C++, Other",Other,3,senior
1431,Asia,,,10,senior
1432,North America,,"Mobile Development, Software Development, Networking, Other",,senior
1433,North America,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development",,not specified
1434,Europe,,Other,,not specified
1435,North America,"Go, C++, Python, Java",Cloud Computing,5,senior
1436,North America,"C++, Other","Internet of Things (IoT), Other",,not specified
1437,North America,,"Software Development, Other",,senior
1438,North America,"C++, Other","Software Development, Other",,not specified
1439,North America,"C++, Other","Software Development, Networking, Other",2,mid
1440,North America,Shell,"Mobile Development, Other",,not specified
1441,North America,Shell,"Mobile Development, Other",,not specified
1442,North America,"Swift, Other",Mobile Development,,not specified
1443,North America,"C++, Other",Networking,,not specified
1444,Asia,"JavaScript, Python, Other, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Other",4,mid
1445,North America,"JavaScript, Other","Web Development, Software Development, Other",7,senior
1446,Asia,Python,"Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
1447,North America,,"Internet of Things (IoT), Software Development, Networking",5,senior
1448,North America,"Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development",,senior
1449,North America,,"Software Development, Other",,not specified
1450,North America,"Python, Other",Other,,not specified
1451,North America,Other,Other,2,mid
1452,Asia,Java,"Networking, Database Management, Other",,senior
1453,North America,"JavaScript, Python",Other,3,mid
1454,North America,Other,"Internet of Things (IoT), Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",2,mid
1455,North America,"Python, C++, Java",Machine Learning/Artificial Intelligence,,not specified
1456,North America,Python,Data Analytics,,not specified
1457,North America,"JavaScript, Python, C#, Go","Data Analytics, DevOps, Database Management, Software Development, Other",,not specified
1458,North America,"C++, Other","Software Development, Networking",,mid
1459,Europe,Python,"Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",,not specified
1460,North America,,Other,,not specified
1461,North America,,Other,5,mid
1462,North America,,"Cybersecurity, Other",10,senior
1463,Asia,Other,"Internet of Things (IoT), Software Development, Networking, Other",5,senior
1464,North America,"R, Other","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",2,mid
1465,North America,Java,"Cloud Computing, Database Management, Other",5,senior
1466,North America,"Perl, Shell, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development",,not specified
1467,North America,Swift,Software Development,,not specified
1468,North America,,"Networking, Other",8,senior
1469,North America,,"Data Analytics, Software Development, Database Management, Other",3,mid
1470,North America,,"Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1471,North America,"JavaScript, Python, Shell, Ruby","Web Development, Software Development, Mobile Development, Other",,not specified
1472,North America,"Swift, Other","Other, Software Development, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",3,mid
1473,North America,"Other, C++, Java","DevOps, Software Development, Other",,not specified
1474,North America,"Swift, C++, Java, Other","Web Development, Networking",,not specified
1475,North America,,Other,5,senior
1476,North America,"Swift, C++, Other","Human-Computer Interaction, AR/VR (Augmented Reality/Virtual Reality)",,senior
1477,Asia,Java,"Web Development, Software Development, Database Management",7,senior
1478,North America,"C++, Other",Other,,senior
1479,North America,"Scala, C++, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1480,North America,Python,Other,8,senior
1481,Asia,"JavaScript, Python, Java","Web Development, Database Management, Other",5,senior
1482,North America,"JavaScript, Other","Web Development, Other",,not specified
1483,North America,"Python, C++, Java",Machine Learning/Artificial Intelligence,,senior
1484,North America,Python,"Internet of Things (IoT), Networking, Other",,not specified
1485,North America,"C++, Other","Internet of Things (IoT), Other",,not specified
1486,North America,"Python, C++","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
1487,North America,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
1488,Asia,"Java, Python, Shell, Perl, C++","Software Development, Other",6,senior
1489,North America,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1490,North America,"Python, C++","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
1491,North America,"Swift, C++, Java, Other","Web Development, Networking",,not specified
1492,North America,"Python, Go, Other","Cloud Computing, Database Management, DevOps",,not specified
1493,Asia,,"Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",5,senior
1494,Asia,,Other,7,senior
1495,Asia,,"Other, Networking, Mobile Development",,not specified
1496,North America,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,not specified
1497,North America,"Python, Shell","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,mid
1498,North America,"C++, Other","Web Development, Machine Learning/Artificial Intelligence, Software Development",5,senior
1499,North America,,Other,,mid
1500,North America,"Swift, C++, Other","Internet of Things (IoT), Other",,not specified
1501,North America,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Networking, Other",3,mid
1502,North America,,"Software Development, Other",,not specified
1503,North America,"Swift, C++, Other","Software Development, Other",,not specified
1504,North America,"Swift, C++, Other","Cloud Computing, Software Development, Other",,not specified
1505,Asia,,Networking,,not specified
1506,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1507,North America,"Perl, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",5,senior
1508,Europe,"C++, Other","Networking, Other",4,mid
1509,North America,Other,"Mobile Development, Software Development, Other",4,senior
1510,North America,Other,"Mobile Development, Other",,not specified
1511,North America,Java,"Data Analytics, Cloud Computing, Database Management",5,senior
1512,Asia,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1513,North America,"Python, Java","Web Development, Software Development, Database Management, Other",,senior
1514,North America,,"Mobile Development, Other",5,senior
1515,North America,,"Data Analytics, Other",,not specified
1516,North America,"JavaScript, Swift, Other","Software Development, Other",,not specified
1517,North America,"Python, Swift, Other","DevOps, Software Development, Machine Learning/Artificial Intelligence",2,mid
1518,Europe,"Python, C++, Scala, Java",Data Analytics,,not specified
1519,North America,"Other, Java","Data Analytics, Software Development",,not specified
1520,North America,"Scala, Other, Java","Cloud Computing, Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1521,North America,,"Machine Learning/Artificial Intelligence, Software Development",4,not specified
1522,North America,Java,"Data Analytics, Software Development, Database Management",,not specified
1523,North America,"C++, Other","Software Development, Networking, Other",,not specified
1524,North America,,"Software Development, Other",5,senior
1525,North America,"C++, Other","Internet of Things (IoT), Other",,not specified
1526,Asia,,,10,senior
1527,North America,"C++, Other","Web Development, Software Development, Networking",,not specified
1528,North America,,"Networking, Other",8,senior
1529,North America,"JavaScript, Python, Java",Web Development,2,mid
1530,North America,"Swift, C++, Other","Cloud Computing, Software Development, Other",,not specified
1531,North America,"JavaScript, Python","Data Analytics, Database Management",5,senior
1532,Asia,,,,senior
1533,North America,"JavaScript, PHP, Other",Database Management,,not specified
1534,Europe,"Python, Java","Blockchain, Cloud Computing, Database Management, Other",,not specified
1535,North America,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Other",5,senior
1536,North America,"JavaScript, TypeScript, Other",Other,,not specified
1537,Asia,,,,junior
1538,Europe,,"Networking, Other",,senior
1539,North America,,,,not specified
1540,Asia,,,,not specified
1541,Asia,"Python, C++, C#, Other","Cloud Computing, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",3,mid
1542,North America,"JavaScript, Python, C++, Other","Mobile Development, Software Development, Networking, Other",,not specified
1543,North America,Other,"Software Development, Mobile Development, Other",4,senior
1544,North America,Other,"Data Analytics, Other",3,not specified
1545,North America,,"Web Development, Cloud Computing, Database Management",8,senior
1546,Asia,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",3,mid
1547,North America,Other,"Data Analytics, Other",3,senior
1548,North America,"Python, Scala","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",5,senior
1549,North America,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",5,senior
1550,North America,"Go, Python","DevOps, Database Management, Cloud Computing, Web Development, Networking, Other",,not specified
1551,Asia,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",3,mid
1552,North America,"JavaScript, Other, C++, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",8,senior
1553,North America,"Python, Perl, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",5,senior
1554,Europe,"Python, C++, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,not specified
1555,North America,Java,"Web Development, Software Development",,not specified
1556,Asia,,Software Development,,not specified
1557,North America,"Other, Java","Web Development, Data Analytics, Database Management, Other",,not specified
1558,North America,"Perl, Shell, PHP, Python","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",,senior
1559,North America,"C++, Other",Other,,not specified
1560,North America,,"Internet of Things (IoT), Other",,not specified
1561,North America,,"Cloud Computing, Software Development, Networking, Other",10,senior
1562,North America,,Machine Learning/Artificial Intelligence,3,senior
1563,North America,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",5,senior
1564,North America,,Other,15,senior
1565,Asia,,Other,,not specified
1566,Asia,Other,Web Development,5,senior
1567,North America,C++,"Software Development, Other",,not specified
1568,Europe,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",4,mid
1569,North America,"PHP, Java, Swift, Ruby, Other","Web Development, Data Analytics, Software Development, Other",5,senior
1570,Asia,,Other,,not specified
1571,North America,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, Other",,not specified
1572,North America,"JavaScript, Python, Shell","DevOps, Software Development",2,mid
1573,North America,,Other,10,senior
1574,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",5,senior
1575,North America,"Java, Python, Shell, Go, C++, Other","Data Analytics, DevOps, Database Management",,not specified
1576,North America,"Swift, Other","Software Development, Other",,not specified
1577,North America,Java,"Data Analytics, DevOps, Cloud Computing, Software Development, Other",,not specified
1578,North America,"Swift, C++, Other",,,not specified
1579,North America,,Other,2,mid
1580,North America,"JavaScript, Python, Shell, Perl, Ruby, C++, Other","Software Development, Networking, Other",2,mid
1581,North America,,Other,4,mid
1582,North America,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, Other",,not specified
1583,Europe,"JavaScript, Other","Web Development, Software Development, Other",,not specified
1584,Asia,"Python, C++, Other","Software Development, Networking, Other",,not specified
1585,Asia,"Perl, Shell, Python","Software Development, Other",3,mid
1586,Asia,"Perl, Shell, Python","Software Development, Networking, Other",3,mid
1587,North America,"Ruby, Python, Shell, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",5,senior
1588,Asia,,"Data Analytics, Other",,not specified
1589,North America,"JavaScript, Swift, Other, Java","Cloud Computing, Database Management",,not specified
1590,North America,"Perl, Python, Other","Networking, Other",10,senior
1591,North America,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,senior
1592,Europe,,Other,,not specified
1593,North America,"Perl, C++, Python, Other",Other,10,senior
1594,North America,,,,not specified
1595,North America,"Swift, C++, Other",Machine Learning/Artificial Intelligence,5,senior
1596,North America,,Other,,not specified
1597,North America,,"Networking, Other",5,senior
1598,North America,"Swift, C++, Other",,5,senior
1599,Asia,,Other,,not specified
1600,North America,"Swift, C++, Other",,2,not specified
1601,North America,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1602,North America,,,10,senior
1603,North America,"Python, Shell, Perl, Other",Other,,not specified
1604,North America,Other,Other,15,senior
1605,North America,,,3,not specified
1606,Asia,,"Data Analytics, Other",,not specified
1607,North America,"Other, Shell, Scala, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",,not specified
1608,North America,Python,"Networking, Other",2,junior
1609,North America,,"Other, Cloud Computing, Software Development, Mobile Development",,not specified
1610,Asia,Shell,"Data Analytics, DevOps, Software Development, Networking, Other",5,senior
1611,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
1612,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
1613,North America,,"AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
1614,North America,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1615,North America,,"Data Analytics, Other",2,mid
1616,North America,,"Data Analytics, Other",,mid
1617,North America,,Other,5,senior
1618,North America,,Other,5,senior
1619,North America,"JavaScript, Python","Web Development, Software Development, Database Management, Other",,not specified
1620,Asia,Other,Other,5,senior
1621,North America,Java,"Data Analytics, Cloud Computing, Database Management",5,senior
1622,North America,"Python, C++, Java","Web Development, Cloud Computing, Software Development, Networking",,not specified
1623,North America,"Scala, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",4,senior
1624,North America,,Other,5,senior
1625,North America,,"Cloud Computing, Other",,not specified
1626,Europe,,"Data Analytics, Other",,senior
1627,North America,Python,Other,,not specified
1628,North America,Python,"Data Analytics, Database Management, Other",3,mid
1629,North America,"Python, C++",Machine Learning/Artificial Intelligence,3,mid
1630,North America,"Python, Other","Data Analytics, Other",3,mid
1631,North America,"JavaScript, TypeScript, C++, Other",Web Development,7,senior
1632,North America,"JavaScript, Java, Python, C++, Other","Database Management, Machine Learning/Artificial Intelligence, Cloud Computing, Software Development",7,senior
1633,Europe,,Other,5,senior
1634,Europe,"Python, C++",Machine Learning/Artificial Intelligence,3,senior
1635,North America,"Python, Swift, Other","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
1636,North America,"Perl, C++, Python, Other",Other,10,senior
1637,North America,"Shell, Python, C++","Internet of Things (IoT), Software Development, Networking, Other",,not specified
1638,North America,JavaScript,"Web Development, Data Analytics, Database Management",5,mid
1639,North America,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual",,not specified
1640,Asia,,"Machine Learning/Artificial Intelligence, Database Management, Other",,not specified
1641,Asia,"Python, C++, Other","Cybersecurity, Other",,senior
1642,North America,Java,"Web Development, Software Development, Other",3,mid
1643,North America,,"Networking, Other",10,senior
1644,North America,Java,"Web Development, Software Development, Other",3,mid
1645,North America,,"Data Analytics, Other",5,senior
1646,North America,"Perl, C++, Python, Other",Other,,not specified
1647,Asia,"JavaScript, Java, Python, Go, Other","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1648,North America,,AR/VR (Augmented Reality/Virtual Reality),,not specified
1649,North America,"Python, C++","Software Development, Other",3,not specified
1650,North America,,Other,3,mid
1651,North America,"Python, Shell, Perl, C++","DevOps, Software Development, Networking, Other",,senior
1652,North America,"Swift, C++, Other",Mobile Development,2,mid
1653,Asia,"Python, Other","Internet of Things (IoT), Other",,not specified
1654,North America,"C++, Other",Machine Learning/Artificial Intelligence,,not specified
1655,North America,Python,"Data Analytics, Database Management, Other",3,mid
1656,North America,Other,"Internet of Things (IoT), Networking, Other",8,senior
1657,North America,"Swift, Other","Mobile Development, Software Development, Other",,not specified
1658,North America,,"Networking, Other",5,senior
1659,North America,,"Cloud Computing, Networking, Other",5,senior
1660,North America,,"Software Development, Database Management, Other",5,senior
1661,North America,"JavaScript, Python, Shell, C++","DevOps, Other",,not specified
1662,Asia,,,,not specified
1663,North America,Java,"Cybersecurity, Cloud Computing, Networking, Other",3,mid
1664,North America,,Other,3,not specified
1665,North America,,,4,mid
1666,Asia,,"Networking, Other",5,senior
1667,North America,,Other,4,mid
1668,North America,,Other,6,senior
1669,North America,,Machine Learning/Artificial Intelligence,,not specified
1670,North America,,Machine Learning/Artificial Intelligence,,not specified
1671,North America,"JavaScript, PHP, Python, Ruby, Other","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
1672,North America,,"Software Development, Other",5,senior
