id,programming_languages,tools_and_technologies,years_experience_min,experience_level
1337,,"Software Development, Database Management, Other",3.0,not specified
1338,,"Database Management, Other",5.0,senior
1339,,"DevOps, Other",,not specified
1340,"C++, Other",Software Development,,not specified
1341,"Perl, C++, Python, Other",,,not specified
1342,"Python, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
1343,"JavaScript, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
1344,,"Software Development, Other",3.0,not specified
1345,"Scala, Java, Python, Shell, Ruby","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,not specified
1346,"C++, Other","Software Development, Other",,senior
1347,"Perl, Other",Other,,not specified
1348,Python,"Data Analytics, Machine Learning/Artificial Intelligence",4.0,senior
1349,,"Data Analytics, Database Management, Other",3.0,mid
1350,"Swift, Other","Mobile Development, Other",5.0,mid
1351,,"Web Development, Database Management",2.0,mid
1352,"Perl, Python, Ruby, C++, Other",Other,7.0,senior
1353,Other,,2.0,mid
1354,,"Data Analytics, Cloud Computing, Database Management, Other",3.0,mid
1355,,"Cybersecurity, Other",5.0,senior
1356,"JavaScript, Python, Other, Java","Other, Software Development, Mobile Development",,not specified
1357,"JavaScript, Python, Perl, Shell, Go, C++, Other","DevOps, Database Management, Other",,mid
1358,"C++, Other","Internet of Things (IoT), Other",,not specified
1359,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1360,,"Software Development, Other",5.0,senior
1361,"Python, Shell, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
1362,"Perl, Other","Web Development, Software Development, Other",,not specified
1363,"JavaScript, C++, Other","Web Development, Software Development",5.0,senior
1364,Other,Mobile Development,,not specified
1365,"Swift, Other","Software Development, Other",,not specified
1366,"Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development",,not specified
1367,"Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development",,not specified
1368,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",,not specified
1369,Other,"Machine Learning/Artificial Intelligence, Networking, Other",,not specified
1370,,"Software Development, Other",3.0,mid
1371,Python,"DevOps, Software Development, Other",3.0,mid
1372,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1373,,Other,,not specified
1374,"Python, C++, Perl, Other","Data Analytics, Other",5.0,senior
1375,Other,Other,10.0,senior
1376,,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,senior
1377,,"AR/VR (Augmented Reality/Virtual Reality), Other",1.0,junior
1378,"Python, Other",Other,,not specified
1379,"Swift, Shell, Python, Other","DevOps, Software Development, Other",,not specified
1380,Other,"Other, Networking, Mobile Development",,not specified
1381,"C++, Other",Machine Learning/Artificial Intelligence,,not specified
1382,Other,"Data Analytics, Database Management, Other",4.0,senior
1383,"Python, Other",Other,,not specified
1384,,"Internet of Things (IoT), Mobile Development, Other",8.0,senior
1385,"C++, Other",Other,,not specified
1386,"JavaScript, R, PHP, Java, Python, Perl, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",3.0,mid
1387,"Python, C++, Other","DevOps, Software Development, Networking, Mobile Development",,not specified
1388,,"Data Analytics, Other",,not specified
1389,,"AR/VR (Augmented Reality/Virtual Reality), Other",1.0,junior
1390,Other,"Data Analytics, DevOps, Cloud Computing, Cybersecurity, Networking, Other",,senior
1391,,"Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,senior
1392,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1393,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1394,Other,Software Development,,not specified
1395,"C++, Other","Software Development, Other",,mid
1396,"C++, Other","Software Development, Other",,not specified
1397,"JavaScript, Other","Web Development, Other",3.0,senior
1398,"Perl, C++, Python, Other",Other,,not specified
1399,,"Software Development, Other",5.0,senior
1400,,"Data Analytics, Database Management, Other",3.0,mid
1401,Other,Mobile Development,,not specified
1402,"Python, Scala, Java","Data Analytics, Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,senior
1403,,"Software Development, Other",5.0,senior
1404,"Swift, C++, Other","Human-Computer Interaction, Mobile Development, Software Development, Internet of Things (IoT), Networking, Other",,not specified
1405,Other,,2.0,mid
1406,Python,"DevOps, Software Development, Other",1.0,not specified
1407,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1408,,"Data Analytics, Database Management, Other",3.0,not specified
1409,,"AR/VR (Augmented Reality/Virtual Reality), Other",4.0,mid
1410,Other,"Web Development, Software Development, Other",,not specified
1411,"Perl, Shell, Other",Other,5.0,senior
1412,"Perl, Other","Cybersecurity, Software Development, Other",5.0,mid
1413,,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1414,,,4.0,mid
1415,"Perl, Other","Cybersecurity, DevOps, Software Development, Other",5.0,mid
1416,"JavaScript, Swift, Other",,,not specified
1417,,"Web Development, Software Development, Other",4.0,mid
1418,"Python, Shell",Software Development,,not specified
1419,C++,"Machine Learning/Artificial Intelligence, Other",,not specified
1420,"C++, Other","Software Development, Other",5.0,senior
1421,,"Software Development, Other",5.0,senior
1422,,"Web Development, Machine Learning/Artificial Intelligence, Other",,not specified
1423,"Python, C++, Other",Other,1.0,mid
1424,"Python, C++, Perl","Data Analytics, Other",,junior
1425,"Swift, Other",Other,,not specified
1426,"Perl, Python, Ruby, C++, Other",Other,7.0,senior
1427,Other,"Data Analytics, Software Development, Database Management, Other",4.0,senior
1428,Other,"Data Analytics, Database Management, Other",4.0,senior
1429,Other,"Data Analytics, Database Management, Networking, Other",4.0,senior
1430,"R, Python, Perl, C++, Other",Other,3.0,senior
1431,,,10.0,senior
1432,,"Mobile Development, Software Development, Networking, Other",,senior
1433,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development",,not specified
1434,,Other,,not specified
1435,"Go, C++, Python, Java",Cloud Computing,5.0,senior
1436,"C++, Other","Internet of Things (IoT), Other",,not specified
1437,,"Software Development, Other",,senior
1438,"C++, Other","Software Development, Other",,not specified
1439,"C++, Other","Software Development, Networking, Other",2.0,mid
1440,Shell,"Mobile Development, Other",,not specified
1441,Shell,"Mobile Development, Other",,not specified
1442,"Swift, Other",Mobile Development,,not specified
1443,"C++, Other",Networking,,not specified
1444,"JavaScript, Python, Other, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Other",4.0,mid
1445,"JavaScript, Other","Web Development, Software Development, Other",7.0,senior
1446,Python,"Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
1447,,"Internet of Things (IoT), Software Development, Networking",5.0,senior
1448,"Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development",,senior
1449,,"Software Development, Other",,not specified
1450,"Python, Other",Other,,not specified
1451,Other,Other,2.0,mid
1452,Java,"Networking, Database Management, Other",,senior
1453,"JavaScript, Python",Other,3.0,mid
1454,Other,"Internet of Things (IoT), Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",2.0,mid
1455,"Python, C++, Java",Machine Learning/Artificial Intelligence,,not specified
1456,Python,Data Analytics,,not specified
1457,"JavaScript, Python, C#, Go","Data Analytics, DevOps, Database Management, Software Development, Other",,not specified
1458,"C++, Other","Software Development, Networking",,mid
1459,Python,"Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",,not specified
1460,,Other,,not specified
1461,,Other,5.0,mid
1462,,"Cybersecurity, Other",10.0,senior
1463,Other,"Internet of Things (IoT), Software Development, Networking, Other",5.0,senior
1464,"R, Other","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",2.0,mid
1465,Java,"Cloud Computing, Database Management, Other",5.0,senior
1466,"Perl, Shell, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development",,not specified
1467,Swift,Software Development,,not specified
1468,,"Networking, Other",8.0,senior
1469,,"Data Analytics, Software Development, Database Management, Other",3.0,mid
1470,,"Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1471,"JavaScript, Python, Shell, Ruby","Web Development, Software Development, Mobile Development, Other",,not specified
1472,"Swift, Other","Other, Software Development, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",3.0,mid
1473,"Other, C++, Java","DevOps, Software Development, Other",,not specified
1474,"Swift, C++, Java, Other","Web Development, Networking",,not specified
1475,,Other,5.0,senior
1476,"Swift, C++, Other","Human-Computer Interaction, AR/VR (Augmented Reality/Virtual Reality)",,senior
1477,Java,"Web Development, Software Development, Database Management",7.0,senior
1478,"C++, Other",Other,,senior
1479,"Scala, C++, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1480,Python,Other,8.0,senior
1481,"JavaScript, Python, Java","Web Development, Database Management, Other",5.0,senior
1482,"JavaScript, Other","Web Development, Other",,not specified
1483,"Python, C++, Java",Machine Learning/Artificial Intelligence,,senior
1484,Python,"Internet of Things (IoT), Networking, Other",,not specified
1485,"C++, Other","Internet of Things (IoT), Other",,not specified
1486,"Python, C++","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
1487,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
1488,"Java, Python, Shell, Perl, C++","Software Development, Other",6.0,senior
1489,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1490,"Python, C++","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
1491,"Swift, C++, Java, Other","Web Development, Networking",,not specified
1492,"Python, Go, Other","Cloud Computing, Database Management, DevOps",,not specified
1493,,"Data Analytics, AR/VR (Augmented Reality/Virtual Reality), Other",5.0,senior
1494,,Other,7.0,senior
1495,,"Other, Networking, Mobile Development",,not specified
1496,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,not specified
1497,"Python, Shell","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,mid
1498,"C++, Other","Web Development, Machine Learning/Artificial Intelligence, Software Development",5.0,senior
1499,,Other,,mid
1500,"Swift, C++, Other","Internet of Things (IoT), Other",,not specified
1501,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Database Management, Networking, Other",3.0,mid
1502,,"Software Development, Other",,not specified
1503,"Swift, C++, Other","Software Development, Other",,not specified
1504,"Swift, C++, Other","Cloud Computing, Software Development, Other",,not specified
1505,,Networking,,not specified
1506,,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1507,"Perl, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",5.0,senior
1508,"C++, Other","Networking, Other",4.0,mid
1509,Other,"Mobile Development, Software Development, Other",4.0,senior
1510,Other,"Mobile Development, Other",,not specified
1511,Java,"Data Analytics, Cloud Computing, Database Management",5.0,senior
1512,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1513,"Python, Java","Web Development, Software Development, Database Management, Other",,senior
1514,,"Mobile Development, Other",5.0,senior
1515,,"Data Analytics, Other",,not specified
1516,"JavaScript, Swift, Other","Software Development, Other",,not specified
1517,"Python, Swift, Other","DevOps, Software Development, Machine Learning/Artificial Intelligence",2.0,mid
1518,"Python, C++, Scala, Java",Data Analytics,,not specified
1519,"Other, Java","Data Analytics, Software Development",,not specified
1520,"Scala, Other, Java","Cloud Computing, Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1521,,"Machine Learning/Artificial Intelligence, Software Development",4.0,not specified
1522,Java,"Data Analytics, Software Development, Database Management",,not specified
1523,"C++, Other","Software Development, Networking, Other",,not specified
1524,,"Software Development, Other",5.0,senior
1525,"C++, Other","Internet of Things (IoT), Other",,not specified
1526,,,10.0,senior
1527,"C++, Other","Web Development, Software Development, Networking",,not specified
1528,,"Networking, Other",8.0,senior
1529,"JavaScript, Python, Java",Web Development,2.0,mid
1530,"Swift, C++, Other","Cloud Computing, Software Development, Other",,not specified
1531,"JavaScript, Python","Data Analytics, Database Management",5.0,senior
1532,,,,senior
1533,"JavaScript, PHP, Other",Database Management,,not specified
1534,"Python, Java","Blockchain, Cloud Computing, Database Management, Other",,not specified
1535,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Other",5.0,senior
1536,"JavaScript, TypeScript, Other",Other,,not specified
1537,,,,junior
1538,,"Networking, Other",,senior
1539,,,,not specified
1540,,,,not specified
1541,"Python, C++, C#, Other","Cloud Computing, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Software Development, Other",3.0,mid
1542,"JavaScript, Python, C++, Other","Mobile Development, Software Development, Networking, Other",,not specified
1543,Other,"Software Development, Mobile Development, Other",4.0,senior
1544,Other,"Data Analytics, Other",3.0,not specified
1545,,"Web Development, Cloud Computing, Database Management",8.0,senior
1546,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",3.0,mid
1547,Other,"Data Analytics, Other",3.0,senior
1548,"Python, Scala","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",5.0,senior
1549,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
1550,"Go, Python","DevOps, Database Management, Cloud Computing, Web Development, Networking, Other",,not specified
1551,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",3.0,mid
1552,"JavaScript, Other, C++, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",8.0,senior
1553,"Python, Perl, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",5.0,senior
1554,"Python, C++, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,not specified
1555,Java,"Web Development, Software Development",,not specified
1556,,Software Development,,not specified
1557,"Other, Java","Web Development, Data Analytics, Database Management, Other",,not specified
1558,"Perl, Shell, PHP, Python","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",,senior
1559,"C++, Other",Other,,not specified
1560,,"Internet of Things (IoT), Other",,not specified
1561,,"Cloud Computing, Software Development, Networking, Other",10.0,senior
1562,,Machine Learning/Artificial Intelligence,3.0,senior
1563,"Perl, Shell, Python, Ruby, Go, C++, Other","Data Analytics, DevOps, Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
1564,,Other,15.0,senior
1565,,Other,,not specified
1566,Other,Web Development,5.0,senior
1567,C++,"Software Development, Other",,not specified
1568,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",4.0,mid
1569,"PHP, Java, Swift, Ruby, Other","Web Development, Data Analytics, Software Development, Other",5.0,senior
1570,,Other,,not specified
1571,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, Other",,not specified
1572,"JavaScript, Python, Shell","DevOps, Software Development",2.0,mid
1573,,Other,10.0,senior
1574,,"AR/VR (Augmented Reality/Virtual Reality), Other",5.0,senior
1575,"Java, Python, Shell, Go, C++, Other","Data Analytics, DevOps, Database Management",,not specified
1576,"Swift, Other","Software Development, Other",,not specified
1577,Java,"Data Analytics, DevOps, Cloud Computing, Software Development, Other",,not specified
1578,"Swift, C++, Other",,,not specified
1579,,Other,2.0,mid
1580,"JavaScript, Python, Shell, Perl, Ruby, C++, Other","Software Development, Networking, Other",2.0,mid
1581,,Other,4.0,mid
1582,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, Other",,not specified
1583,"JavaScript, Other","Web Development, Software Development, Other",,not specified
1584,"Python, C++, Other","Software Development, Networking, Other",,not specified
1585,"Perl, Shell, Python","Software Development, Other",3.0,mid
1586,"Perl, Shell, Python","Software Development, Networking, Other",3.0,mid
1587,"Ruby, Python, Shell, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",5.0,senior
1588,,"Data Analytics, Other",,not specified
1589,"JavaScript, Swift, Other, Java","Cloud Computing, Database Management",,not specified
1590,"Perl, Python, Other","Networking, Other",10.0,senior
1591,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,senior
1592,,Other,,not specified
1593,"Perl, C++, Python, Other",Other,10.0,senior
1594,,,,not specified
1595,"Swift, C++, Other",Machine Learning/Artificial Intelligence,5.0,senior
1596,,Other,,not specified
1597,,"Networking, Other",5.0,senior
1598,"Swift, C++, Other",,5.0,senior
1599,,Other,,not specified
1600,"Swift, C++, Other",,2.0,not specified
1601,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1602,,,10.0,senior
1603,"Python, Shell, Perl, Other",Other,,not specified
1604,Other,Other,15.0,senior
1605,,,3.0,not specified
1606,,"Data Analytics, Other",,not specified
1607,"Other, Shell, Scala, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
1608,Python,"Networking, Other",2.0,junior
1609,,"Other, Cloud Computing, Software Development, Mobile Development",,not specified
1610,Shell,"Data Analytics, DevOps, Software Development, Networking, Other",5.0,senior
1611,,"AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
1612,,"AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
1613,,"AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
1614,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1615,,"Data Analytics, Other",2.0,mid
1616,,"Data Analytics, Other",,mid
1617,,Other,5.0,senior
1618,,Other,5.0,senior
1619,"JavaScript, Python","Web Development, Software Development, Database Management, Other",,not specified
1620,Other,Other,5.0,senior
1621,Java,"Data Analytics, Cloud Computing, Database Management",5.0,senior
1622,"Python, C++, Java","Web Development, Cloud Computing, Software Development, Networking",,not specified
1623,"Scala, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",4.0,senior
1624,,Other,5.0,senior
1625,,"Cloud Computing, Other",,not specified
1626,,"Data Analytics, Other",,senior
1627,Python,Other,,not specified
1628,Python,"Data Analytics, Database Management, Other",3.0,mid
1629,"Python, C++",Machine Learning/Artificial Intelligence,3.0,mid
1630,"Python, Other","Data Analytics, Other",3.0,mid
1631,"JavaScript, TypeScript, C++, Other",Web Development,7.0,senior
1632,"JavaScript, Java, Python, C++, Other","Database Management, Machine Learning/Artificial Intelligence, Cloud Computing, Software Development, Other",7.0,senior
1633,,Other,5.0,senior
1634,"Python, C++",Machine Learning/Artificial Intelligence,3.0,senior
1635,"Python, Swift, Other","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
1636,"Perl, C++, Python, Other",Other,10.0,senior
1637,"Shell, Python, C++","Internet of Things (IoT), Software Development, Networking, Other",,not specified
1638,JavaScript,"Web Development, Data Analytics, Database Management",5.0,mid
1639,"C++, Other","Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",,not specified
1640,,"Machine Learning/Artificial Intelligence, Database Management, Other",,not specified
1641,"Python, C++, Other","Cybersecurity, Other",,senior
1642,Java,"Web Development, Software Development, Other",3.0,mid
1643,,"Networking, Other",10.0,senior
1644,Java,"Web Development, Software Development, Other",3.0,mid
1645,,"Data Analytics, Other",5.0,senior
1646,"Perl, C++, Python, Other",Other,,not specified
1647,"JavaScript, Java, Python, Go, Other","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1648,,AR/VR (Augmented Reality/Virtual Reality),,not specified
1649,"Python, C++","Software Development, Other",3.0,not specified
1650,,Other,3.0,mid
1651,"Python, Shell, Perl, C++","DevOps, Software Development, Networking, Other",,senior
1652,"Swift, C++, Other",Mobile Development,2.0,mid
1653,"Python, Other","Internet of Things (IoT), Other",,not specified
1654,"C++, Other",Machine Learning/Artificial Intelligence,,not specified
1655,Python,"Data Analytics, Database Management, Other",3.0,mid
1656,Other,"Internet of Things (IoT), Networking, Other",8.0,senior
1657,"Swift, Other","Mobile Development, Software Development, Other",,not specified
1658,,"Networking, Other",5.0,senior
1659,,"Cloud Computing, Networking, Other",5.0,senior
1660,,"Software Development, Database Management, Other",5.0,senior
1661,"JavaScript, Python, Shell, C++","DevOps, Other",,not specified
1662,,,,not specified
1663,Java,"Cybersecurity, Cloud Computing, Networking, Other",3.0,mid
1664,,Other,3.0,not specified
1665,,,4.0,mid
1666,,"Networking, Other",5.0,senior
1667,,Other,4.0,mid
1668,,Other,6.0,senior
1669,,Machine Learning/Artificial Intelligence,,not specified
1670,,Machine Learning/Artificial Intelligence,,not specified
1671,"JavaScript, PHP, Python, Ruby, Other","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
1672,,"Software Development, Other",5.0,senior
1673,"Ruby, Go, Python, Java","Cloud Computing, DevOps, Software Development, Other",5.0,senior
1674,Java,"Software Development, Mobile Development",,not specified
1675,"Other, Java","Data Analytics, DevOps, Database Management, Other",5.0,senior
1676,"Ruby, Python, Shell","DevOps, Networking, Other",8.0,senior
1677,,,5.0,senior
1678,,"Internet of Things (IoT), Other",5.0,senior
1679,,"Data Analytics, Other",5.0,senior
1680,,,2.0,not specified
1681,,"Software Development, Other",4.0,senior
1682,,"Database Management, Other",2.0,mid
1683,,"Web Development, Other, Mobile Development",,senior
1684,,"Software Development, Other",3.0,mid
1685,"Python, Go, Scala, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Other",,senior
1686,,"Data Analytics, Other",,not specified
1687,,Other,2.0,mid
1688,,"Networking, Database Management, Other",10.0,senior
1689,,Other,,not specified
1690,,,7.0,senior
1691,"Swift, Other","Mobile Development, Other",,not specified
1692,Other,Other,4.0,senior
1693,Other,Other,5.0,senior
1694,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",3.0,mid
1695,,"Data Analytics, Database Management, Other",3.0,mid
1696,,,5.0,not specified
1697,"Go, Python","DevOps, Database Management, Cloud Computing, Software Development, Other",2.0,senior
1698,,Other,5.0,mid
1699,"Perl, C++, Python, Other","Software Development, Other",,not specified
1700,"JavaScript, Swift",DevOps,,not specified
1701,,"Other, Cybersecurity",5.0,senior
1702,"JavaScript, Scala, Python, Java",Data Analytics,,not specified
1703,,,5.0,senior
1704,"Python, Shell","DevOps, Software Development, Other",,not specified
1705,"Python, Shell","DevOps, Software Development, Other",,not specified
1706,"TypeScript, C++, Java","Web Development, Other, Software Development, Mobile Development",3.0,mid
1707,"Python, Other","Software Development, Other",5.0,senior
1708,,Other,5.0,senior
1709,"Ruby, JavaScript, Other","Web Development, Software Development, Database Management",3.0,mid
1710,"JavaScript, C#, PHP, Java, Python, Swift, Ruby, Other","Data Analytics, DevOps, Database Management, Web Development, Other",3.0,mid
1711,"Perl, C++, Python, Other",Other,5.0,senior
1712,"Perl, Shell, Python, Other","Internet of Things (IoT), Data Analytics, Software Development, Other",,not specified
1713,"JavaScript, Python, Swift, Ruby, C++, Other",Other,3.0,mid
1714,,"Other, Mobile Development",1.0,junior
1715,"Perl, Shell, Python, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
1716,,Machine Learning/Artificial Intelligence,,not specified
1717,,Machine Learning/Artificial Intelligence,,not specified
1718,,Other,5.0,senior
1719,Other,"Networking, Other",5.0,senior
1720,Java,"DevOps, Database Management, Other",3.0,mid
1721,"Python, R, Other",Data Analytics,,not specified
1722,"Perl, C++, Python, Other",Other,5.0,senior
1723,,"Internet of Things (IoT), Software Development, Other",,not specified
1724,"JavaScript, Python, Swift, Other","Web Development, Database Management, Mobile Development",,not specified
1725,Other,"Networking, Other",5.0,senior
1726,,"Data Analytics, Other",,not specified
1727,"C++, Other",Human-Computer Interaction,,not specified
1728,,,,senior
1729,,Other,6.0,senior
1730,,Other,,not specified
1731,"Other, C++, C#, Java","Cybersecurity, Networking, Other",2.0,mid
1732,,Other,20.0,senior
1733,Other,"Data Analytics, Other",,not specified
1734,R,"Data Analytics, Other",,not specified
1735,"Perl, Python, Other",Other,,not specified
1736,"Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",5.0,mid
1737,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,not specified
1738,,,5.0,senior
1739,Other,Other,15.0,senior
1740,"Python, R, Other","Data Analytics, Database Management",3.0,mid
1741,Other,"Human-Computer Interaction, Other, Mobile Development",,not specified
1742,"Scala, Python","Data Analytics, Database Management, Other",4.0,mid
1743,Other,"Human-Computer Interaction, Other, Mobile Development",,not specified
1744,,,,not specified
1745,,"Other, Mobile Development",4.0,mid
1746,"JavaScript, Java, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Networking, Other",,not specified
1747,Other,Database Management,5.0,senior
1748,,,,not specified
1749,,Other,,not specified
1750,,"Networking, Other",5.0,senior
1751,,,,not specified
1752,Java,"Data Analytics, Cloud Computing",5.0,senior
1753,"Python, C++, Perl, Other",Other,,not specified
1754,"Python, Java","Software Development, Mobile Development, Other",4.0,senior
1755,,Other,4.0,mid
1756,,Other,10.0,senior
1757,,Machine Learning/Artificial Intelligence,,not specified
1758,"Python, R",Machine Learning/Artificial Intelligence,,not specified
1759,,Other,2.0,mid
1760,"Java, Python, Swift, Go, C++, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",,senior
1761,,"Networking, Other",,not specified
1762,"Perl, C++, Python, Other",Other,3.0,mid
1763,"C++, Java","Data Analytics, Other",,not specified
1764,,Other,3.0,mid
1765,Swift,Mobile Development,,not specified
1766,,"Other, Data Analytics, Software Development, Mobile Development",,not specified
1767,Ruby,"Database Management, Other",,not specified
1768,"JavaScript, Other","Web Development, Software Development",,senior
1769,"Python, R, Other","Data Analytics, DevOps, Database Management",2.0,mid
1770,,,10.0,senior
1771,"Swift, C++, Other","Mobile Development, Other",,not specified
1772,,"Machine Learning/Artificial Intelligence, Other",,senior
1773,,,7.0,senior
1774,"Shell, Python, C++, Other","Software Development, Networking, Other",3.0,mid
1775,,Other,3.0,mid
1776,Java,"Web Development, Software Development, Database Management",5.0,senior
1777,,"Web Development, Other",,senior
1778,,"Software Development, Other",5.0,senior
1779,,"Data Analytics, Other",5.0,senior
1780,"Python, C++, Other","Data Analytics, DevOps, Software Development, Other",,not specified
1781,JavaScript,Web Development,8.0,senior
1782,Other,Other,3.0,senior
1783,,"Data Analytics, Other",3.0,mid
1784,,Other,,not specified
1785,,"Machine Learning/Artificial Intelligence, Software Development",10.0,senior
1786,Other,"Data Analytics, Other",5.0,mid
1787,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",8.0,senior
1788,,Other,,not specified
1789,"Python, Shell, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Networking, Other",,mid
1790,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",3.0,mid
1791,"Perl, C++, Python, Other",Other,1.0,not specified
1792,"Python, Shell","DevOps, Software Development, Networking, Other",,senior
1793,,"Web Development, DevOps, Other",5.0,senior
1794,,"Software Development, Other",,not specified
1795,"C++, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Other",,senior
1796,"JavaScript, Python, Other, Java","DevOps, Software Development, Mobile Development, Other",5.0,senior
1797,"JavaScript, Java, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Cybersecurity, Networking, Other",,not specified
1798,,"Cloud Computing, Software Development, Networking, Cybersecurity",5.0,senior
1799,"R, Other","Data Analytics, Other",5.0,senior
1800,"C++, Other","Internet of Things (IoT), Data Analytics, Software Development, Other",4.0,senior
1801,"JavaScript, Python, Java","DevOps, Software Development, Mobile Development, Other",2.0,mid
1802,,Machine Learning/Artificial Intelligence,5.0,senior
1803,,Machine Learning/Artificial Intelligence,10.0,senior
1804,"Ruby, Python","DevOps, Software Development, Other",,not specified
1805,,"Software Development, Other",5.0,mid
1806,"JavaScript, Python, Other","Web Development, Cloud Computing, Database Management, Other",3.0,mid
1807,,,10.0,senior
